INSTRUMENTO,Data,COTA/ELEVATION(m),THERMISTOR/ELECTRICAL RESISTANCE(Ohm),MCA/WATER LEVEL(m),FREQUENCIA/FREQUENCY(Hz),KPA/PRESSURE(kPA),TEMPERATURA/TEMPERATURE(°C),COTA_LOCAL/ELEVATION(m)
BA1-PZE-01 (2),2021-02-28 21:00:00,1.158445238453,2300.744,5.05944523845316,2871.265,49.6148425975646,31.1021390643882,54.958445238453
BA1-PZE-01 (2),2021-03-01 21:00:00,1.156358691019,2300.221,5.05735869101895,2871.295,49.5943811205373,31.1075119989302,54.956358691019
BA1-PZE-01 (2),2021-03-02 21:00:00,1.168406431889,2300.646,5.06940643188854,2871.115,49.7125258456464,31.1031457418199,54.968406431889
BA1-PZE-01 (2),2021-03-03 21:00:00,1.172456254296,2301.367,5.07345625429629,2871.056,49.7522399431089,31.09574061183,54.972456254296
BA1-PZE-01 (2),2021-03-04 21:00:00,1.178086094009,2301.228,5.0790860940089,2870.971,49.8074482906703,31.0971680252835,54.978086094009
BA1-PZE-01 (2),2021-03-05 21:00:00,1.183999185812,2301.189,5.08499918581238,2870.882,49.86543431587,31.0975685401913,54.983999185812
BA1-PZE-01 (2),2021-03-06 21:00:00,1.181762317401,2301.714,5.08276231740141,2870.917,49.8434987342221,31.0921776404564,54.981762317401
BA1-PZE-01 (2),2021-03-07 21:00:00,1.190706898037,2301.897,5.09170689803655,2870.783,49.9312126908707,31.090298855361,54.990706898037
BA1-PZE-01 (2),2021-03-08 21:00:00,1.187501014303,2302.587,5.08850101430281,2870.833,49.899774576742,31.0832164382836,54.987501014303
BA1-PZE-01 (2),2021-03-09 21:00:00,1.188946018967,2302.865,5.0899460189666,2870.812,49.9139448415768,31.0803636245157,54.988946018967
BA1-PZE-01 (2),2021-03-10 21:00:00,1.195259170497,2303.217,5.09625917049712,2870.718,49.9758540044832,31.0767519902915,54.995259170497
BA1-PZE-01 (2),2021-03-11 21:00:00,1.198587614795,2303.234,5.09958761479532,2870.668,50.0084939940802,31.0765775806588,54.998587614795
BA1-PZE-01 (2),2021-03-12 21:00:00,1.20754900202,2303.902,5.10854900201984,2870.535,50.0963727625306,31.0697254662824,55.00754900202
BA1-PZE-01 (2),2021-03-13 21:00:00,1.214537579267,2303.934,5.11553757926668,2870.43,50.1649054066727,31.0693972779699,55.014537579267
BA1-PZE-01 (2),2021-03-14 21:00:00,1.21349874813,2303.696,5.11449874812981,2870.445,50.1547182337886,31.0718383026011,55.01349874813
BA1-PZE-01 (2),2021-03-15 21:00:00,1.220561737696,2304.542,5.12156173769577,2870.341,50.2239805934088,31.0631626843772,55.020561737696
BA1-PZE-01 (2),2021-03-16 21:00:00,1.215904929678,2304.149,5.11690492967815,2870.41,50.1783141644009,31.0671923970999,55.015904929678
BA1-PZE-01 (2),2021-03-17 21:00:00,1.215118836958,2305.369,5.116118836958,2870.425,50.1706054404725,31.054685407283,55.015118836958
BA1-PZE-01 (2),2021-03-18 21:00:00,1.219340196172,2305.168,5.1203401961725,2870.361,50.2120016930462,31.0567454673605,55.019340196172
BA1-PZE-01 (2),2021-03-19 21:00:00,1.212500600658,2305.611,5.11350060065837,2870.465,50.1449300203885,31.0522054068242,55.012500600658
BA1-PZE-01 (2),2021-03-20 21:00:00,1.210848546142,2305.672,5.11184854614203,2870.49,50.1287293460198,31.0515803294354,55.010848546142
BA1-PZE-01 (2),2021-03-21 21:00:00,1.206095629242,2306.645,5.10709562924151,2870.564,50.0821204367849,31.0416123733989,55.006095629242
BA1-PZE-01 (2),2021-03-22 21:00:00,1.200475011126,2306.833,5.10147501112597,2870.649,50.0270025197094,31.039686947268,55.000475011126
BA1-PZE-01 (2),2021-03-23 21:00:00,1.200559671706,2307.322,5.10155967170633,2870.649,50.0278327335309,31.0346796262702,55.000559671706
BA1-PZE-01 (2),2021-03-24 21:00:00,1.195457873152,2308.203,5.09645787315193,2870.728,49.9778025582228,31.0256613003301,54.995457873152
BA1-PZE-01 (2),2021-03-25 21:00:00,1.195653702961,2307.413,5.09665370296089,2870.723,49.9797229397448,31.0337479266639,54.995653702961
BA1-PZE-01 (2),2021-03-26 21:00:00,1.188952265929,2308.66,5.08995226592929,2870.827,49.9140061016667,31.0209847768319,54.988952265929
BA1-PZE-01 (2),2021-03-27 21:00:00,1.190174660754,2308.421,5.09117466075389,2870.808,49.9259933698266,31.0234303547833,54.990174660754
BA1-PZE-01 (2),2021-03-28 21:00:00,1.178109033102,2309.037,5.07910903310151,2870.991,49.8076732401294,31.0171276928168,54.978109033102
BA1-PZE-01 (2),2021-03-29 21:00:00,1.171434058042,2308.903,5.07243405804242,2871.091,49.7422158982093,31.0184985637474,54.971434058042
BA1-PZE-01 (2),2021-03-30 21:00:00,1.162259970894,2309.321,5.06325997089449,2871.23,49.6522513134831,31.0142225637928,54.962259970894
BA1-PZE-01 (2),2021-03-31 21:00:00,1.164012247548,2309.837,5.06501224754754,2871.205,49.6694348042083,31.0089452699135,54.964012247548
BA1-PZE-01 (2),2021-04-05 21:00:00,1.145291031769,2312.372,5.04629103176918,2871.493,49.4858474482234,30.9830384789516,54.945291031769
BA1-PZE-01 (2),2021-04-06 21:00:00,1.142966838974,2312.397,5.04396683897429,2871.528,49.4630555304827,30.9827831487032,54.942966838974
BA1-PZE-01 (2),2021-04-07 21:00:00,1.138378971116,2312.798,5.03937897111582,2871.598,49.4180651548731,30.9786880802929,54.938378971116
BA1-PZE-01 (2),2021-04-08 21:00:00,1.13718962687,2313.231,5.03818962687014,2871.617,49.4064019932493,30.9742671295537,54.93718962687
BA1-PZE-01 (2),2021-04-09 21:00:00,1.127001520253,2313.567,5.02800152025273,2871.771,49.3064935482778,30.9708372015955,54.927001520253
